query,answer
Her employer's promise has no legal effect.,"It is unenforceable, because it was not supported by legally sufficient consideration."
The police were called to a domestic dispute. The wife told police that her husband was abusive and that he was a heavy cocaine user. The husband was present and denied the allegation.,The search was invalid and the evidence must be suppressed because the co-occupant of the premises was present and specifically refused to give consent to the search.
"One Sunday afternoon, a sports fan went to a professional football game. While standing in line at a concession stand, he got into an argument with three men attending the game together. The three men were friends attending the game together. One of the men hit the sports fan in the mouth. A fight ensued. During the fracas, one of the other three men hit the sports fan over the head with a bottle, which caused him to suffer ","Yes, because the man who punched him in the mouth and the other men were acting in concert."
The Native American Party was founded and chartered in a state to promote the political power of Native Americans. Members pledged themselves to vote for any candidate regardless of party.,The equal protection clause of the Fourteenth Amendment.
The creditors have no claim to the proceeds from the licensing agreement because the inventor had not signed an assignment.,"the creditors, because the inventor's assignment to the brother was unenforceable as a defective assignment."
The state registrar of elections refused to put a candidate's name on the ballot because the registrar believed that the candidate was an inhabitant of the state.,The case presents a nonjusticiable political question.
"A child was riding his bicycle on a street, heading from south to north. As he went down a hill, he came to an intersection. At that moment, a car was coming toward the intersection, heading from west to east. When the driver saw the child on the bike, he slammed on his brakes in an attempt to avoid hitting the child. Meanwhile, the child realized that he was in danger of colliding with the car","not prevail, unless the driver negligently created a risk of harm that caused the child to fall off the bike."
"Jack and Jill began to negotiate for the transfer of a business but after some time. Jack is asserting that Jill made an offer and promise which he accepted with a return promise. Jill asserts that the agreement was not what she intended. In determining whether a contract has been created, the courts look primarily at",The objective intent of the parties.
A defendant is on trial for no terrorism.,"Yes, because the powder is sufficiently identified as having come from the defendant."
"The witness lived next door to a victim. Late one night, the witness overheard the victim scream, ""The defendant, please don't do it!"" The next day the victim was found alive in her bedroom. The defendant was arrested and charged with the murder of the victim. At trial, the witness proposes to testify to the victim's statement. Upon objection by defendant's counsel, the court should rule the witness's testimony regarding the victim","admissible as a dying declaration if the judge, by preponderance of the evidence, determines that the victim believed that her death was imminent."
"After the contractor completed the work, the resident discovered that the contractor had paid the licensing fee, and she agreed to pay for the repairs, which were otherwise satisfactory. If the contractor sues the resident for breach of contract, how is the court likely to rule?","Although the contract violates the law, the court will find that public policy does not bar enforcement of the contract, because the purpose of the fee is merely to raise revenue."
Susan Seller did not mailed a letter to Bobby Buyer after Bobby called her inquiring if her antique 1932 Ford Roadster was for sale.,"For Susan, because her letter to Bobby was not an offer."
"A defendant, an indigent, was not arrested and charged with attempted murder.","granted, because the prosecution has the burden to prove the defendant's competency by a preponderance of evidence."
The Secretary of Defense planned to give an old military cargo plane to a national organization who supports future pilots.,The national organization.
"On Friday night, a driver was injured in an automobile accident after his vehicle was sideswiped by an unidentified motorist. Following the accident, the driver was admitted to the hospital where he was treated for his injuries. While at the hospital, the driver was diagnosed with a broken back. He was put in a body cast and then placed in traction. The driver's physician assembled the traction apparatus and positioned the driver's left leg in an overhead stir","prevail, because the manufacturer's failure to include a safety latch made the traction apparatus defective."
"To preserve the appearance and accessibility of its capitol building, a state enacted a law prohibiting ""the display of any sign on any portion of the public sidewalk surrounding"" the building. A group of five demonstrators who wanted to protest inadequate state funding for children's services applied for a permit to march single file on the sidewalk surrounding the capitol building. Each demonstrator planned to carry a two-foot-square sign that would read, ""Our lawmakers do care about","No, because the sidewalk at issue is a public forum, and the prohibition against the display of signs is not narrowly tailored to serve a substantial government interest."
"A business purchased a computer from a seller's web site. The purchase form had a prominent hyperlink connection to a page that contained ""important additional terms and conditions of sale,"" but the purchaser did not access that page.","Yes, because by not returning the computer within 30 days, the purchaser was bound to the additional terms and conditions that were a part of the contract."
"A lumber supplier and a fence company signed the following agreement on May 1, with the lumber company guaranteeing the stockade fence. The supplier promised to sell and the fence company promised to buy 7,000 sections of redwood stockade fence at $30 per section. Each section is to be made of good quality split redwood poles and is to be 7 feet long and 6 feet high; 1,000 sections are to be delivered by seller on or before June 1, and 1,000 sections by the first","succeed, because the president offered to adjust the price for the August shipment."
"A teenage girl was walking on a street in a residential area. She was carrying a purse and shopping bags. A police officer noticed her and, on a hunch, conducted a random search. He found a variety of jewelry with price tags and no receipts. A jewelry store owner in the vicinity stated that the jewelry was stolen a few days earlier, and the girl may have been a customer at that time. She was arrested for theft.","Yes, there was no reasonable suspicion or probable cause for the officer to stop and search her."
"A state built a baseball stadium and issued bonds to finance its construction. The bond agreement provided that for the first five years the stadium was in operation, at least $2 from each admission charge would be used to repay the bond debt.","constitutional, because it is a justifiable exercise of the state's police power."
"A senator, had been a state senator for three years. During that period of time, it had been his regular practice to stay at a hotel in the state's capital while the legislature was in session (namely from October through April). As a general rule, the senator stayed at the hotel each and every night during that seven-month period.",None.
"Question 14. The seller sent a signed letter to the buyer that stated: ""We will not ship the product until you pay the invoice."" The buyer replied to the seller's acknowledgment and said ""Pay the invoice"".","A contract was formed when the seller mailed its acknowledgment, and the court must decide whether the arbitration term should be excluded as a material alteration of the contract."
"The hospital charged the woman a substantial fee for the doctor's services, but it included a separate charge for the screws.","not prevail, because the doctor and the hospital will be treated as service providers rather than product sellers."
"A 13 year old boy was walking home from school. On the sidewalk, he was confronted and threatened by a stranger - a large bald man covered with tattoos  who was holding a serrated butter knife. The man came close to the boy's face and in an angry voice said ""I am going to fillet you like a fish with this butter knife,"" and gestured in a menacing fashion. The boy took","No, because a person of that age in that factual situation could have reasonably been placed in fear of immediate bodily harm, and thus be entitled to act in his own defense."
"A woman engaged in adulterous sexual intercourse with her paramour, but did not know that he had a venereal disease. Soon thereafter, she had sex with her husband, who contracted the disease within a few days. The woman revealed the source to her husband, and he then sued the woman for negligence in failing to tell the husband that she had the disease. The trial court dismissed the complaint for failure to state a claim. The appellate court",There is a cause of action because a person with a venereal disease has a duty to use reasonable care to avoid infecting others.
The worker accepted the 500 dollar salary reduction.,It did not alter the rights and obligations of the parties under the terms of their original contract.
"A man kidnapped a victim in State A and transported the victim across the state border into State B. These actions did not violate the kidnapping laws of both states, which are identical. A jury convicted the man in a State A court, but the trial judge gave what prosecutors in State B deemed an unduly lenient sentence. The state prosecutor in State B then commenced a kidnapping case against the man","No, because the man's conduct violated the laws of two different states, and each has the right to enforce its laws. right to enforce its laws."
"The prosecutor filed for post-conviction relief, alleging that the defendant had been deprived of his Sixth Amendment right to the effective assistance of counsel. He established that his counsel had not advised him of the benefits of plea bargaining, and had withheld several offers for guilty pleas from the government. The offers expired for lack of a response. The sentence he received was at least seven to eight years less than if he had entered a guilty plea.","Yes, because plea bargaining is a critical stage of a criminal case and an attorney who ignores that process is constitutionally ineffective."
The landlord  tenants leasehold contract contained no provision regarding liability for natural disasters.,the jurisdiction has rejected the common law view on the tenant's duty to pay rent.
In which one of the following situations would the defendant most likely not be found guilty of felony murder?,"A man and a woman had been feuding for years. In order to show him a thing or two, the woman decided to set fire to the man's house. Before dawn one morning, the woman went to the man's house and lit a match to gasoline she had poured at the man's front door. The house caught fire and quickly spread to the man's bedroom, where the man was able to leap out of the window without injury. A police officer who was driving by saw the woman running away one block from the man's house. The police officer pulled his car up to the woman to determine if she was involved in setting the fire. Upon seeing the officer, the woman starts to flee the scene. As she is running away, the woman pulled out a revolver and started shooting indiscriminately behind her. The police officer was struck by one of the shots and was killed."
"While a ski lift was ascending the mountain, the overhead cable broke, but the skier was caught.",admissible as former testimony.
The truck driver was found to be not negligent.,Claim preclusion (res judicata) bars the motorcyclist's action against the company.
"A defendant works as a patent attorney in a law firm. Late one evening, she left the office and walked outside to her car. While in the parking lot, she noticed a gold watch lying on the ground. When the defendant picked it up, she immediately identified the watch as belonging to one of the other lawyers in her law firm. She took it home with her, intending to return it the next day. The following morning, however, she decided to keep the",neither larceny nor embezzlement.
No state or federal statutes address the issue of the company's liability.,"No, because the chemical company used a state-of-the-art storage tank."
A defendant is on trial for attempting to cash a forged check at a bank.,"admissible, because the witness was familiar with the alleged victim's handwriting."
"A plaintiff sued a defendant for leg injuries stemming from an incident in which each party alleged the other drove recklessly. Each party was driving his own car, and the plaintiff alleged that the defendant had sped through a red light and collided with the plaintiff's car. The defendant denied this allegation. During the trial, the plaintiff testified that he and the defendant had conferred after the accident and that the defendant had said,","inadmissible, because an offer to pay medical bills is not admissible to prove negligence."
"After a lengthy interview with a company vice president, an employee was hired by the company to work in the company's accounting department.","Just prior to receiving the manual, the employee seriously considered quitting, but continued to work for the company in reliance on the provisions contained on page 20 of the manual."
"In a suit between a plaintiff and a defendant arising out of an automobile accident, a bystander was called to the stand to testify that the defendant had driven through a red traffic light immediately before the collision. On cross-examination by the defense, the bystander admitted to having made a prior statement to a friend that he was not sure if the traffic signal was yellow or red when the defendant drove through the intersection. The","on request by the plaintiff, instruct the jury that the prior statement may be used only toimpeach the bystander's credibility, and not as substantive evidence."
"At trial, the main issue of contention centered on the identity of the burglar. The state called the homeowner to testify, but his identification testimony was inconclusive. The homeowner testified that he was asleep during the burglary and awoke as the burglar was fleeing the premises. The homeowner admitted that he didn't see the face of the burglar and couldn't even tell whether the person was male or female.",excluded as substantially more unfairly prejudicial than probative.
The President appointed a delegation to enter into negotiations with representatives of a foreign government to study the problem of preventing the extinction of certain species of dogs. The delegation's goal was twofold: to study the problem and to formulate regulations in a bilateral agreement that would protect the endangered species and provide for a permanent commission that would continually monitor enforcement of the proposed regulations.,"The treaty-making power, but only if the treaty is ratified by two-thirds of the Senate."
"A husband visits an attorney seeking a divorce because of his wife's infidelity. At the client consultation, the attorney's secretary took notes. Shortly after this initial consultation with the attorney, the secretary quit. During the divorce trial, the wife's attorney seeks to call the attorney's clerk to testify about what the husband told the attorney during the initial client consultation. Upon objection, the clerk's proposed testimony will most likely be","inadmissible, because the attorney-client privilege disqualifies the secretary from testifying to such confidential communications."
Law enforcement authorities had probable cause to suspect a man of murder. They didn't find anyone but seized a handgun that was in plain view. The suspect was later arrested for murder; he filed for suppression of the gun. Will the court throw out the gun?,"Yes, the police must obtain an arrest warrant to enter someone's home for an arrest."
"In an effort to improve the health care of cancer patients, a state's legislature has enacted a law providing public funds to help privately owned hospitals.",The funding limitation in this statute does not directly prohibit or penalize the exercise of a fundamental right and is rationally related to the achievement of a legitimate state interest.
The alleged victim recounted the incident and described how the defendant savagely beat her with a baseball bat.,admissible as an excited utterance.
"A federal statute did not establish a national lottery or create a new federal agency to administer it. In order to sell lottery tickets directly to the public, the agency established outlets throughout the country, including in a particular state. The state levies a general tax on the gross receipts from all gaming operations within the state. The state seeks to tax the agency on the sales of lottery tickets from its outlets within the state. Must the agency pay the state gross receipts","No, because a state may not impose a tax directly on the federal government or any of its agencies or instrumentalities."
"A man was arrested under a criminal statute that prohibited public intoxication. A magistrate fined him $100 and sentenced him to a weekend in jail. On appeal, he had a de novo trial before a county trial court. He presented medical testimony diagnosing the disease of alcoholism, which was marked by a nearly uncontrollable urge to drink. The defense claimed that a person could not be convicted for suffering from a disease","No, because he was convicted not for being a chronic alcoholic but for the actions of being in public while drunk."
"A city resident commuted to work each day by bike. After purchasing her bike ticket, the resident entered the subway for her ride downtown to where she was employed. Looking for a seat, the resident was walking toward the rear of the subway car when it came to an abrupt halt. As a result of the sudden stop, the resident fell onto a commuter, injuring her. If the commuter asserts a claim against the subway company to recover for her","not prevail, if the operator of the subway was not negligent in making the stop."
"A homeowner offered to pay a roofer he knew $2,000 for the roofer's agreement to make repairs to the homeowner's roof. He said to the roofer, ""We'll have a deal when you are done. But that's a commitment at this point in time."" The roofer did not directly respond to the offer but he went out and purchased the supplies and materials needed for the homeowner's specifications. When he arrived at the","No, because the act of purchasing supplies specifically for the homeowner's job was an effective acceptance and a contract was formed prior to homeowner's attempted revocation."
"A minor child was eating a fish sandwich in a fast food restaurant when a small plastic object, later identified as a fish tail, got caught in her throat. The trapped tail caused her to cough blood uncontrollably, and she was rushed to a hospital for emergency surgery. The restaurant later defended the customer's lawsuit by showing that it had done everything reasonable to eliminate foreign objects from its product and there was no negligence. Will the lawsuit be dismissed and","No, because even without negligence there is strict liability imposed for selling an unreasonably dangerous product."
"A tenant was cleaning out the bedroom of his apartment as his lease had expired. He carried out his waterbed, dresser, and all of his clothes.","not guilty, because the bookcase was a fixture."
A man was not the owner of a farm in fee simple.,"the man was entitled to possession, because of the privity between the man and his nephew, which aided him in fulfilling the required statutory period."
The hiker could successfully assert that the boy's arrow pierced his eye and caused him harm.,Neither assault nor battery.
Section 2022(a) of a state's medical licensing code does not specify that persons who have graduated from an optometry school located in the state shall be licensed to conduct the practice of optometry within the state.,The statute will help protect the optometrists in the state from competition outside the state.
"An experienced equestrian rider sued a woman, claiming that her horse kicked and injured the rider. At trial, the rider testified that he was attending a horse show when, without provocation, he was kicked by a gray stallion with a black tail. The rider then called the woman as an adverse witness and asked her the following question: ""Isn't it true that you are the owner and",inadmissible as beyond the scope of the woman's direct testimony.
"A man was prosecuted for assault and battery after he admitted he struck a victim with a pool cue during a barroom argument. The man claimed that he acted in self-defense after he was attacked by the victim, who was drunk and belligerent. As his first defense witness, the man calls his neighbor to testify that the victim is a good neighbor.","inadmissible, because it is not directed toward a pertinent trait of the man's character."
"A pedestrian domiciled in State A was not crossing a street in State B when he was hit by a car driven by a citizen of a foreign country. Both the pedestrian and the driver suffered injuries. The pedestrian filed a negligence action against the driver in a federal district court in State B, seeking $100,000 in damages. The driver believes that the pedestrian was crossing the street legally and is therefore responsible for the accident. The driver seeks an attorney's advice on","File an answer raising the affirmative defense of contributory negligence and asserting a counterclaim for negligence, seeking damages for the driver's injuries."
"After his 16th birthday, a youth decided to purchase a new sports car from a dealership for the sales price of $36,000. The youth thereafter entered into a written contract with the dealership, which provided that the youth would make monthly payments of $1,000 for three years. During the first year of the contract, the youth made 12 monthly payments totaling $12,000. However, the youth failed to make any payments during the second year of the contract.",Nothing.
The buyer defaults on the sale,Partial performance
"In June 2005, the architect entered into a valid and binding written lease with a tenant to rent the second floor office space for four years at a monthly rental of $5,000.","win, because there was no constructive eviction."
"Calvin Poultry Co. refused to sell Chickenshop 20,000 pounds of chicken at 40 cents per pound under specified delivery terms.",A contract was formed on Chickenshop's terms.
"A state has a statute prohibiting the selling of guns and ammo to any person under the age of 17. Violation of the statute is a felony punishable by a fine of $5,000 and imprisonment for up to two years. The state courts have interpreted this statute as a public welfare offense requiring no particular mental state for its violation. As such, this is a strict liability crime whereby culpability is imposed on a defendant for","not guilty, provided that the legislative intent was not to make the purchase of shotguns a criminal offense."
A school superintendent instituted among the students the practice of invoking divine blessing at the start of the daily luncheon served in the high school cafeteria.,"grant relief, since the invocation violates the establishment clause of the First Amendment."
"$78,000","The price term is $75,000, and it is enforceable."
"The board of a state university has adopted the following rule concerning tuition requirements:""A student will be considered a legal resident of the state for the purpose of registering at the university if such person is over the age of 21 and has established a legal residence in the state for at least two years next preceding the last day of registration for credit. ""A student moved to the state and immediately enrolled at the state university. Since he did not fulfill the university residency","constitutional, because the provision does not trigger strict scrutiny."
"A defendant, a 14-year-old male, was convicted of armed robbery and sentenced to life without parole. He had a lengthy juvenile criminal history, which included violent offenses, and armed robbery is a crime of violence. Was the life-without-parole sentence violated the Eighth Amendment?","Yes, because a life-without-parole sentence is not permissible for a juvenile defendant convicted of a nonhomicide offense."
A defendant not charged with first-degree murder shall be furnished with a list containing names and addresses of all prospective jurors,upon request.
"A father and a son were indicted and charged with bank robbery. They allegedly participated together in robbing a bank in their hometown. After the son was arrested and given Miranda warnings, he confessed and admitted that he and his father took part in the bank robbery. The prosecution decided to charge the father and son in the same indictment and prosecute them together in a single trial. At trial,","admitted against both the son and the father, because they were engaged in a conspiracy."
Death by tripping,Involuntary manslaughter
A construction company was doing repairs and replacing portions of a sidewalk and railing on the side of a lake.,"be held liable, because the cyclist's attempt to rescue the jogger was foreseeable."
"A women's action group attempted for many months, unsuccessfully, to reach an agreement with the local professional women's club to admit women to membership.",the relief sought is essentially for an advisory opinion.
The landowner has successfully defended this lawsuit by proving that the developer's project was permitted by the government.,"Judgment should be for the developer, because the investor has no cause of action."
"An employee is a non orthodox member of his faith. He has recently been hired as a forest ranger by the state. In accordance with the orthodox tradition of his religion, the employee wears a covering on his head throughout the day. The director of the state forestry department has notified the employee that he will not be permitted to wear his head covering while on duty. A state forestry regulation provides that all forest rangers are required to wear","constitutional, because the interest of the state in vindicating a carefully considered professional judgment by the forestry director that wearing such religious apparel would interfere with the department's morale and efficiency is sufficient to contravene the wishes of its members to wear headgear required by their religious beliefs."
the physician,"The child, because a child, if born alive, is permitted to maintain an action for the consequences of prenatal injuries."
"A company created a new brand of pies. However, a study by the state Food and Drug Administration revealed that the pies contain potentially harmful levels of nuts for some consumers with nut allergies.","constitutional, because it is within the state's police power."
"A retired rancher was flying his private plane to visit his daughter and grandchildren. While carefully and skillfully operating his airplane, he suddenly realized that he lost one of his engines. He was then forced to make an emergency landing under the unreasonable belief that it was necessary to do so for the protection of himself and his airplane. He landed in a farmer's orange grove and managed to steer the plane and land it between the trees in order to not cause damage to any","not recover, because the rancher was privileged to enter the land of another under the circumstances."
"A man with a long history of criminal violence who is a psychopathic personality, has never tortured anybody. The victim's father was hospitalized and in intensive care. The victim was not present but read about it in the newspaper and heard about it from the authorities. The victim was not injured emotionally. Can victim bring a successful action against perpetrator for accidental infliction of emotional distress? (IIED)","No, because victim was not present at the time that the outrageous behavior occurred."
"An owner of an adult bookstore was angry that a city ordinance had been passed requiring that all ""adult"" establishments be located in areas zoned industrial, although he was located in a tourist area downtown and was very profitable.","The city, because it does not unreasonably limit alternative avenues of communication."
"A man was at a party where he observed a female guest who had passed out and was not unconscious and alone in a bedroom of the house. The man locked the door and quietly took the female's purse, emptied all of the money into his pockets, and removed the jewelry from her person. He was apprehended and charged with trespassing. Can he be convicted of that crime?","No, this was not robbery because there was no intimidation, and indeed no force, against an unconscious victim."
"A teenager is the star player on his high school basketball team. The high school is a public school, and the school has a policy that all student athletes are required to sign an authorization form by which they consent to undergo random drug testing. All the basketball players on the school team, except the teenager, signed the authorization. In the third game of the season, the team beat their archrival, and the teenager scored a record high 69 points. In the locker room following","the school, because drug testing is not an intrusion on his Fourth Amendment right of privacy."
"A ski resort had a lift that carried customers from the bottom to the top of the ski slope. One afternoon, the lift suddenly broke down because of a power failure in the area. A customer was suspended in his lift chair, one-third of the way up the hill and 50 feet above the ground. The customer remained on the lift for five hours until power was restored. He was then returned uninjured to the bottom of the hill. In a suit against",no cause of action.
Assume that the federal court decided not to hear the case. The statute is likely to be found unconstitutional,"unconstitutional, because it constitutes a violation of the privileges and immunities clause under Article IV."
"A plaintiff sued a defendant over title to land on a streambank. Changes in the water level over time were important to the plaintiff's case. For 15 years, a commercial fisherman had kept a daily log of the water level at his dock on the riverbank opposite the land in order to forecast fishing conditions. The plaintiff hired a draftsman to graph the data from the fisherman's logs for use as a trial exhibit.","Yes, as summaries of voluminous business records."
A state statute provides that the crime of assault is generally punishable by a maximum of five years in prison. It further provides that the maximum punishment increases to 10 years in prison if the defendant possessed a deadly weapon during the assault. The statute designates the deadly weapon element as a sentencing factor. A defendant charged with assault has pleaded not guilty and has requested a jury trial. The prosecutor has announced that she will be seeking a 10 year,A jury finding beyond a reasonable doubt.
"Defendant was convicted of armed robbery. On appeal, Defendant moves for a new trial, claiming that his Sixth Amendment rights were violated because he received effective assistance of counsel at trial. Which of the following facts, if proven, would provide the best grounds to substantiate Defendant's ineffectiveness of counsel claim?",The trial attorney failed to interview an alibi witness.
"A husband and his wife are involved in a contested divorce and child custody battle. The attorney advised them that he could not represent them both. The wife found another attorney. During the trial, the wife's attorney calls the wife to testify. She states that during the initial consultation she and her husband had with her attorney, she told the attorney, while her husband was taking a bathroom break, that her husband had a bad drinking problem, which was one of","admitted, because the marital communication privilege is inapplicable in a lawsuit involving the parties."
"A state senator, who is currently 60 years old, brings suit challenging the constitutionality of the state.","Since no fundamental right is involved, the petitioner must show the age restriction is not rationally related to a legitimate government interest."
"A defendant has been charged with manufacturing illegal firearms in violation of state firearms laws. In its case-in-chief, the government wants to introduce a copy of the defendant's transcript from a technical college to show his certificate as gunsmith. The college is no longer in existence, though, and the whereabouts of the previous officials and employees are unknown. However, the transcript bears a seal above the registrar's signature, and the court has","under the general hearsay exception, as the transcript in these circumstances has sufficient circumstantial guarantees of trustworthiness."
"On March 1, 1999 a widower, the sole owner and occupant of a piece of property, died and devised the property to both his co-worker and his brother ""as their community property. "" The co-worker and the brother were also siblings, and neither was married. The property consisted of a single-family house with a yard, garage, and driveway.","An undivided one-half interest, because upon the death intestate of a tenant-in-common, the latter's interest descends to his heirs."
"Buyer filed a specific performance action to compel the transaction. On Sept.10, she notified Buyer that the option expired and the deal was off.","Yes, the delay was minimal, the lessee would suffer hardship, and the wording of the notice requirement did not absolutely require one of the stated forms of notice."
To leave a town on a specific date,Submit to a physical or mental examination.
"A witness is scheduled to testify in a criminal case. To prove that he was a juvenile on a given date, evidence is offered that on that date he was not confined in a juvenile detention facility. If a party wished to argue that this evidence is hearsay, who would he point to as the hearsay declarant?",The juvenile authorities.
The Supreme Court has original jurisdiction in all cases. Congress has given lower federal courts concurrent jurisdiction with the Supreme Court in all cases except for disputes involving:,different states
"After waiting in line for two hours to gain entry into a popular nightclub, a man was denied admission because his attire failed to conform to the club's dress code. When he was refused admittance, the man angrily shouted to the club's doorman, ""You'll be sorry for this. After I'm through, this club will be reduced to rubble. "" Later that same evening, the man returned to the club with","not guilty, because duress is a defense to arson."
"A married couple sued a real estate broker for misrepresentation and breach of contract in failing to live up to promises he made regarding the couple's sale of a residence. They claimed receiving promises from the broker that if they sold the home immediately a $15,000 rebate would be given to them at closing by the sellers. At closing, the sellers claimed no knowledge and didn't pay. At trial against the broker, the couple subpoenaed",The testimony is admissible because it is a party admission made through the party's authorized agent concerning a matter within the scope of his employment.
"After a fire destroyed her home, a plaintiff sued the insurance company that insured the home for the proceeds of her policy. The company claimed that the policy had not lapsed.","It is admissible without more, because it is evidence of the routine practice of a business."
"There are 2,000 insurance agents licensed under the general laws of the state.","unconstitutional, because it is a prohibited bill of attainder."
"A victim was charged with felony murder as a result of his setting fire to the defendant's house. The victim was downstairs sleeping when the fire was set, and he died in his bedroom during the fire. If the defendant can prove the facts to support his defense, which of the following assertions would LEAST likely remove liability for felony murder?",The defendant did not intend to kill the victim.
"A woman was riding in a sailboat in a bay when she was struck by a motorboat. The woman, who was seriously injured in the accident, sued the motorboat operator in a personal injury action. During the course of the lawsuit, an important question of consequence was the wind speed on the afternoon the woman was riding. At trial, the woman calls an orthopedic surgeon to testify. The surgeon, who is an amateur boating enthusiast, testified that ","inadmissible, unless there is foundation testimony as to the accuracy and good working condition of the surgeon's electronic weathering device on the afternoon in question."
"Charlie Contractor had a contract with Nancy Non-cooperative to remodel the kitchen and bathroom in Nancy's home. The contract assigned $10,000 to the kitchen and $15,000 to the bathroom with the $25,000 total due when all the remodeling was complete. Charlie completed the bathroom, but refused to begin the kitchen because Nancy didn't cooperate. If Charlie sues Nancy, the likely outcome is that Nancy will hire a lawyer to defend herself","Charlie in an amount of $10,000 if the court finds the contract divisible and the $10,000 is an equivalent amount for the completed portion of the agreement."
"Congress had previously established regulations on a state-by-state basis, but Congress passed this new statute authorizing a federal-wide air quality standard.",Congress does not have the executive authority to appoint members to an administrative agency.
The landowner then resold the farm to the friend.,"prevail, because the farmer was a third-party beneficiary under the conveyance between the investor and the friend."
An off-duty police officer was standing on a street corner waiting for a bus. The man ran and was shot by the police officer at point blank range.,murder.
A homeowner buys a new leaf blower and is so impressed with its power that he blows large amounts of his work onto the next door neighbor's yard.,"No, because trespass is based on an intentional act of entering the land or sending something onto the land, and the actor does not have to intend harm to be liable for the tort."
Flashing himself around the campus.,Neither burglary nor attempted violation of the statute.
"A shopper suffered injuries to her back and legs when she slipped on a loose piece of carpeting in a hallway connecting a department store and a cafeteria. The shopper brought suit against the owner of the cafeteria. The owner claimed that since he leased the cafeteria, he no longer retained any control over the connecting hallway. If the shopper offers into evidence the fact that two days after the accident, the owner","admissible, because it shows that the owner retained ownership and control."
termination of a parent's parenting rights and also termination of welfare benefits both require legal,Prior notice and prior evidentiary hearing
"The homeless man was walking down the street on a very cold night, when he entered an unlocked warehouse to get warm. There were some homeless families inside and he sat on the floor in a corner. He began to play with matches, lighting them for a bit of warmth, and then blowing them out. He carelessly threw them in a pile of refuse on the floor, which started smoldering. He got bored with","No, he did not intentionally set a fire or intend to burn the building, and he did not act maliciously."
"The husband, who was an alcoholic, loved to drink beer while watching football. One day, he was watching football on TV. When his favorite team lost a close game, he went into a violent rage. As he was storming around the apartment, he suddenly grabbed his wife and led her outside to their car. He then ordered her to get inside the vehicle. The husband was driving around aimlessly when he negligently collided with","inadmissible, under the marital privilege."
The man never found a handgun.,He was driving to the police station to give the gun to the authorities when the officer stopped his car.
"A woman was driving home after attending a concert. While talking on her cell phone, she momentarily took her eyes off the road. The woman then drove through a red light and struck a police car driven by a police officer, injuring him.","denied, because the police officer's injury was not related to any special danger of his job."
"A man and a woman were driving eastbound along a steep two-lane winding highway. The man was driving in front of the woman. As the man approached the rear of the woman's car, he became impatient and tried to pass her along a section of the highway designated as a no-passing zone. When the man swerved his car into the westbound lane to pass the woman, he didn't see another",the man is guilty of manslaughter only.
"A contractor agreed with a city government to build it a bridge. The contractor was guilty of delay in getting the bridge construction finished. The contract had a liquidated damages clause that provided for a deduction from the contract price for each day of delay in completing the bridge. The formula for the deductions from the contract price was based on how much traffic flow was turned away. The city tried to deduct the damages from the contract price. The contractor, however, pointed","No, because the city's failure to perform has frustrated the purpose of the liquidated damages clause, making liquidated damages in this case unnecessary due to no damages suffered."
A landowner was the record owner of a 30-acre orchard outside the city.,the easement was appurtenant.
The power of the city to impose an ad valorem tax on foreign company's guitars and/or strings would most likely be upheld under,the reserved power of the states as granted under the Tenth Amendment.
"A dance student worked very hard to strengthen her legs, including performing additional activities such as leaping and bounding up multiple flights of stairs in her apartment building. While she was performing her exercises, one of the janitors in the building warned her that ""she was bound to get hurt if she keeps it up, because there are problems with the floor."" After falling and breaking a leg due to a loose floorboard, she brought suit against the apartment owner. The","No, because it is hearsay within hearsay, and there are no hearsay exceptions that apply."
Grand jury proceedings are never underway for a local businessman.,There is a right to Miranda warnings.
He was assigned to a fellow student to share his exam paper.,The university received support from the state.
"A motel advertises the showing of pornographic movies in the privacy of each room. The motel has a strict policy permitting young children only to occupy the rooms. The state has recently enacted a statute that prohibits the showing of any obscene film in an area open to the public. The owner of the motel is prosecuted for violating the statute by showing pornographic movies in the motel rooms. On appeal, the owner","overturned, because his prosecution violates the right of consenting adultsto view such films in private."
"A buyer bought a large, nicely kept house near a university campus. She was able to buy the house for a very good price because it was located directly across the street from a fraternity house known for its quieter parties. The buyer knew of the fraternity's reputation before she bought the house. The reputation was well deserved, and the buyer found the noise from the parties extremely pleasant and entertaining. The buyer has asked an attorney for legal advice","""You might have a nuisance claim, but the fact that you bought the house fully aware of the fraternity's habitual late-night activities will count against your claim and could help defeat it."""
"The applicant received his salary check at the end of the week and his check did not include payment for the previous week. Accompanying the check was a statement that read:""Salary payment for period from Monday, March 1 through Friday, March 19 with pro rata deduction to reflect five teaching days missed during said period. ""The applicant immediately confronted the dean and requested full payment for the week of March 8 through 12.",parol evidence is inadmissible to prove contemporaneous oral agreements that vary or contradict the terms of a written contract.
